code,name
ar-AE,Arabic (Gulf)
ar-SA,Arabic (Modern Standard)
de-DE,German (Germany)
de-CH,German (Switzerland)
en-AU,English (Australia)
en-GB,English (England)
en-IN,English (India)
en-IE,English (Ireland)
en-AB,English (Scotland)
en-US,English (US)
en-WL,English (Wales)
es-ES,Spanish (Spain)
es-US,Spanish (US)
fa-IR,Farsi (Iran)
fr-FR,French (France)
fr-CA,French (Canada)
he-IL,Hebrew (Israel)
hi-IN,Hindi (India)
id-ID,Indonesian (Indonesia)
it-IT,Italian (Italy)
ja-JP,Japanese (Japan)
ko-KR,Korean (Korea)
ms-MY,Malay (Malaysia)
pt-PT,Portuguese (Portugal)
pt-BR,Portuguese (Brazil)
ru-RU,Russian (Russia)
ta-IN,Tamil (India)
te-IN,Teluga (India)
tr-TR,Turkish (Turkey)
zh-CN,Chinese (Mandarin - Mainland)
